19:34:38;LORA-BMP;25;1012.08;9.91;40.39;650.477
19:34:40;LORA-BMP;25;1012.1;9.91;40.4;644.217
19:34:42;LORA-BMP;25;1012.08;9.91;40.38;647.327
19:34:44;LORA-BMP;25;1012.08;9.91;40.38;644.217
19:34:45;LORA-BMP;25;1012.08;9.91;40.39;645.457
19:34:47;LORA-BMP;25;1012.08;10.08;40.38;645.457
19:35:00;LORA-BMP;24.99;1012.06;9.75;40.38;645.4557
19:35:01;LORA-BMP;24.99;1012.06;9.75;40.39;645.4557
19:35:03;LORA-BMP;25;1012.04;9.75;40.39;647.3257
19:35:05;LORA-BMP;25;1012.1;9.75;40.37;643.5957
19:35:07;LORA-BMP;25;1012.04;9.75;40.37;648.5857
19:35:10;LORA-BMP;25;1012.08;9.91;40.38;646.7057
19:35:12;LORA-BMP;25;1012.08;9.91;40.35;647.3257
19:35:14;LORA-BMP;25;1012.02;9.91;40.37;645.4557
19:35:19;LORA-BMP;25;1012.02;9.91;40.36;644.2157
19:35:21;LORA-BMP;25;1012.02;9.91;40.35;646.0757
19:35:23;LORA-BMP;25;1012.02;10.08;40.35;644.217
19:35:26;LORA-BMP;25;1012.02;10.08;40.34;644.217
19:35:30;LORA-BMP;25;1012.08;10.08;40.33;646.707
19:35:32;LORA-BMP;25;1012.06;10.08;40.33;642.977
19:35:34;LORA-BMP;25;1012.08;10.08;40.31;641.127
19:35:35;LORA-BMP;25;1012.06;10.08;40.31;644.217
19:35:37;LORA-BMP;25;1012.08;10.08;40.31;643.597
19:35:39;LORA-BMP;25;1012.08;10.08;40.29;644.217
19:35:43;LORA-BMP;25;1012.06;10.08;40.3;646.077
19:35:44;LORA-BMP;25.01;1012.06;10.08;40.31;644.217
19:35:46;LORA-BMP;25;1012.06;10.08;40.29;645.457
19:35:48;LORA-BMP;25;1012.06;10.08;40.29;644.837
19:35:50;LORA-BMP;25;1012.06;10.25;40.31;646.707
19:35:52;LORA-BMP;25;1012.06;10.08;40.3;646.077
19:35:53;LORA-BMP;25;1012.06;10.08;40.32;642.977
19:35:55;LORA-BMP;25;1012.06;10.08;40.31;647.327
19:35:57;LORA-BMP;25;1012.08;10.08;40.31;653.647
